                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 2.2819,                  2.003,                0.98233,                0.29764,                0.37948,                0.26223,                0.09049,                 2.2882,                  2.124,                0.97801,              0.0090496,              0.0090496,              0.0090496
                     50,                 2.2886,                   1.98,                0.98129,                0.29174,                0.35203,                0.25242,                0.08802,                 2.2623,                 2.0036,                0.96619,              0.0090298,              0.0090298,              0.0090298
                     51,                 2.2772,                 1.9974,                0.98356,                0.32286,                0.37263,                0.26581,                 0.0939,                 2.2581,                 1.9394,                 0.9745,                0.00901,                0.00901,                0.00901
                     52,                 2.2634,                 1.9933,                0.98511,                0.32141,                 0.3343,                0.26811,                0.09327,                 2.2417,                 1.9532,                0.96782,              0.0089902,              0.0089902,              0.0089902
                     53,                 2.2623,                 1.9767,                0.97764,                0.33231,                0.34494,                0.26012,                0.09305,                 2.2615,                 1.9752,                0.96842,              0.0089704,              0.0089704,              0.0089704
                     54,                 2.2711,                  1.999,                0.98134,                0.29888,                0.32654,                0.25371,                0.08808,                 2.2867,                 1.9536,                0.97783,              0.0089506,              0.0089506,              0.0089506
                     55,                 2.2801,                 1.9846,                0.98427,                0.28972,                  0.358,                0.26751,                0.08896,                 2.2348,                 1.9493,                0.96794,              0.0089308,              0.0089308,              0.0089308
                     56,                 2.2833,                 1.9811,                0.98385,                0.34038,                0.38579,                0.27657,                0.09323,                 2.2388,                 1.9069,                0.96694,               0.008911,               0.008911,               0.008911
                     57,                 2.2665,                 1.9641,                0.98433,                0.31906,                0.37514,                0.27049,                0.09095,                 2.2855,                 1.9299,                0.97761,              0.0088912,              0.0088912,              0.0088912
                     58,                 2.2673,                 1.9619,                0.97885,                 0.3395,                0.33398,                0.26194,                0.08892,                 2.2481,                 1.9614,                0.96959,              0.0088714,              0.0088714,              0.0088714
                     59,                 2.2663,                 1.9826,                0.98339,                0.34901,                0.37235,                0.28872,                0.09847,                 2.3045,                 1.9452,                0.97927,              0.0088516,              0.0088516,              0.0088516
                     60,                 2.2504,                 1.9544,                0.97742,                0.28903,                 0.3482,                0.25043,                0.08583,                   2.25,                 2.0135,                0.97155,              0.0088318,              0.0088318,              0.0088318
                     61,                 2.2551,                 1.9728,                0.98007,                0.31535,                0.37401,                0.26529,                0.08896,                 2.2917,                 1.9194,                0.97925,               0.008812,               0.008812,               0.008812
                     62,                 2.2551,                 1.9452,                0.97825,                 0.3533,                 0.3562,                0.26868,                 0.0902,                 2.2941,                 1.8972,                0.98054,              0.0087922,              0.0087922,              0.0087922
                     63,                 2.2524,                 1.9388,                0.98116,                0.29839,                0.38869,                0.26858,                0.09408,                 2.2091,                 1.9498,                0.96489,              0.0087724,              0.0087724,              0.0087724
                     64,                 2.2571,                  1.969,                0.97711,                0.34979,                0.33444,                0.27548,                0.09022,                 2.2636,                 1.9642,                0.97063,              0.0087526,              0.0087526,              0.0087526
                     65,                 2.2499,                 1.9434,                0.97708,                0.30322,                0.38156,                0.26314,                 0.0895,                 2.2744,                 1.9184,                0.97578,              0.0087328,              0.0087328,              0.0087328
                     66,                 2.2404,                 1.9293,                0.97542,                0.38321,                0.32074,                0.27991,                0.09625,                 2.2622,                 1.9718,                0.97058,               0.008713,               0.008713,               0.008713
                     67,                 2.2424,                  1.923,                 0.9781,                0.31178,                0.35932,                 0.2645,                0.08914,                 2.2816,                 1.9436,                0.97659,              0.0086932,              0.0086932,              0.0086932
                     68,                 2.2469,                 1.9281,                0.97738,                0.31136,                0.37415,                0.26869,                0.09261,                 2.2815,                 1.9478,                0.97024,              0.0086734,              0.0086734,              0.0086734
                     69,                 2.2278,                 1.9319,                0.97872,                0.32762,                0.36661,                0.26372,                0.09177,                 2.2621,                 1.8919,                 0.9696,              0.0086536,              0.0086536,              0.0086536
                     70,                 2.2438,                 1.9421,                0.98512,                0.33857,                0.34311,                0.26934,                 0.0933,                 2.2555,                   1.94,                0.96991,              0.0086338,              0.0086338,              0.0086338
                     71,                 2.2382,                 1.9178,                0.97664,                0.30726,                0.41222,                0.26319,                0.09179,                 2.2672,                 1.9459,                 0.9714,               0.008614,               0.008614,               0.008614
                     72,                 2.2482,                   1.92,                 0.9795,                0.30901,                0.41803,                0.27893,                0.09286,                 2.2878,                 1.9368,                0.97532,              0.0085942,              0.0085942,              0.0085942
                     73,                 2.2332,                 1.9215,                0.97929,                0.27565,                0.36945,                0.26943,                0.09485,                  2.246,                 1.9394,                0.96755,              0.0085744,              0.0085744,              0.0085744
                     74,                 2.2352,                 1.9083,                0.96919,                0.30737,                0.37348,                0.25586,                0.08874,                 2.2505,                 1.8926,                0.96984,              0.0085546,              0.0085546,              0.0085546
                     75,                 2.2353,                 1.9085,                0.97759,                0.31882,                0.33778,                0.25942,                0.09091,                 2.2829,                 1.8871,                0.97278,              0.0085348,              0.0085348,              0.0085348
                     76,                 2.2426,                 1.9035,                0.97388,                0.32427,                0.37428,                0.27261,                0.09236,                 2.2804,                  1.904,                0.97539,               0.008515,               0.008515,               0.008515
                     77,                 2.2387,                 1.9033,                0.96804,                0.29472,                0.38384,                0.26048,                0.09174,                 2.2944,                 1.8946,                0.97953,              0.0084952,              0.0084952,              0.0084952
                     78,                 2.2301,                 1.9018,                0.97926,                0.29383,                 0.3635,                0.25868,                0.08891,                 2.2704,                 1.9478,                0.97418,              0.0084754,              0.0084754,              0.0084754
                     79,                 2.2362,                 1.9006,                0.97508,                0.34407,                0.38547,                0.28529,                0.09626,                 2.2591,                 1.9255,                0.97405,              0.0084556,              0.0084556,              0.0084556
                     80,                 2.2223,                 1.8884,                0.97219,                0.32608,                0.36523,                0.26356,                0.09609,                 2.3086,                 1.8736,                0.97962,              0.0084358,              0.0084358,              0.0084358
                     81,                 2.2216,                  1.874,                0.97546,                0.33081,                0.38021,                 0.2668,                0.09036,                 2.2636,                 1.9437,                0.97146,               0.008416,               0.008416,               0.008416
                     82,                 2.2294,                 1.8986,                0.96584,                0.35187,                0.38209,                0.28165,                0.09562,                 2.2597,                 1.8961,                 0.9725,              0.0083962,              0.0083962,              0.0083962
                     83,                  2.206,                 1.8791,                0.97087,                0.33269,                0.37219,                0.28647,                0.09371,                 2.2611,                 1.9167,                0.96965,              0.0083764,              0.0083764,              0.0083764
                     84,                 2.2182,                 1.8588,                0.97342,                 0.3397,                0.38239,                0.29114,                0.09497,                 2.2976,                 1.9154,                0.97886,              0.0083566,              0.0083566,              0.0083566
                     85,                 2.2225,                 1.8819,                0.97592,                0.32879,                0.38563,                0.27826,                0.09112,                 2.2768,                 1.8875,                0.97388,              0.0083368,              0.0083368,              0.0083368
                     86,                 2.2188,                 1.8855,                0.97097,                 0.3097,                0.37959,                 0.2768,                0.09559,                 2.2735,                 1.9024,                 0.9758,               0.008317,               0.008317,               0.008317
                     87,                 2.2204,                 1.8716,                0.97162,                0.33864,                0.35855,                0.28973,                0.09492,                 2.2739,                 1.9173,                0.97114,              0.0082972,              0.0082972,              0.0082972
                     88,                 2.2165,                  1.868,                0.97223,                0.36889,                0.36086,                0.28865,                0.10206,                 2.2931,                 1.8985,                 0.9753,              0.0082774,              0.0082774,              0.0082774
                     89,                 2.2184,                 1.8661,                0.96503,                0.37073,                0.35816,                0.30254,                 0.1012,                  2.287,                 1.9409,                0.97615,              0.0082576,              0.0082576,              0.0082576
                     90,                 2.2162,                 1.8705,                0.97404,                 0.3354,                0.35648,                0.28087,                0.09237,                 2.2795,                 1.9048,                0.97941,              0.0082378,              0.0082378,              0.0082378
                     91,                 2.2106,                  1.851,                0.97148,                0.32301,                0.33524,                0.26244,                0.09199,                 2.3232,                 2.0242,                0.97922,               0.008218,               0.008218,               0.008218
                     92,                  2.208,                 1.8429,                0.96902,                0.33814,                0.37073,                0.27368,                0.09293,                  2.281,                  1.895,                0.97931,              0.0081982,              0.0081982,              0.0081982
